,bssid,dev,freq,node,signal,ssid,ap
211,a0:cf:5b:3f:87:4e,wlan1,5660,nuc13,-67.00 dBm,TUB-Guest,nuc11
212,a0:cf:5b:3d:7d:a1,wlan0,2462,nuc13,-68.00 dBm,TUB-Guest,nuc11
213,a0:cf:5b:3f:bd:fd,wlan1,5300,nuc13,-80.00 dBm,TUB-intern,nuc11
214,a0:cf:5b:3f:87:4d,wlan1,5660,nuc13,-67.00 dBm,TUB-intern,nuc11
215,a0:cf:5b:3d:7d:a2,wlan0,2462,nuc13,-51.00 dBm,TUB-intern,nuc11
216,a0:cf:5b:3f:bd:fd,wlan0,5300,nuc13,-74.00 dBm,TUB-intern,nuc11
217,a0:cf:5b:3f:bd:fc,wlan1,5300,nuc13,-79.00 dBm,eduroam,nuc11
218,a0:cf:5b:3f:87:4c,wlan1,5660,nuc13,-67.00 dBm,eduroam,nuc11
219,a0:cf:5b:3f:bd:fc,wlan0,5300,nuc13,-57.00 dBm,eduroam,nuc11
220,02:5d:60:77:7e:ff,wlan1,2412,nuc13,-77.00 dBm,twist-test,nuc11
221,02:5d:60:77:7e:ff,wlan0,2412,nuc13,-70.00 dBm,twist-test,nuc11
222,64:66:b3:ce:21:db,wlan1,2437,nuc4,-73.00 dBm,68-test,nuc11
223,64:66:b3:ce:21:db,wlan0,2437,nuc4,-80.00 dBm,68-test,nuc11
224,56:8b:3c:d0:48:b6,wlan1,5200,nuc4,-58.00 dBm,Intelligent-Mesh-5GHz,nuc11
225,56:8b:3c:d0:48:b6,wlan0,5200,nuc4,-52.00 dBm,Intelligent-Mesh-5GHz,nuc11
226,a0:cf:5b:00:1d:8e,wlan1,5500,nuc4,-74.00 dBm,TUB-Guest,nuc11
227,a0:cf:5b:fa:41:de,wlan1,5660,nuc4,-66.00 dBm,TUB-Guest,nuc11
228,a0:cf:5b:3f:bf:ce,wlan1,5240,nuc4,-82.00 dBm,TUB-Guest,nuc11
229,a0:cf:5b:3f:bd:fe,wlan1,5300,nuc4,-81.00 dBm,TUB-Guest,nuc11
230,a0:cf:5b:3f:bf:ce,wlan0,5240,nuc4,-74.00 dBm,TUB-Guest,nuc11
231,a0:cf:5b:00:1d:8d,wlan1,5500,nuc4,-73.00 dBm,TUB-intern,nuc11
232,a0:cf:5b:fa:41:dd,wlan1,5660,nuc4,-77.00 dBm,TUB-intern,nuc11
233,a0:cf:5b:3f:bf:cd,wlan1,5240,nuc4,-83.00 dBm,TUB-intern,nuc11
234,a0:cf:5b:3f:bd:fd,wlan1,5300,nuc4,-81.00 dBm,TUB-intern,nuc11
235,a0:cf:5b:3f:bf:cd,wlan0,5240,nuc4,-75.00 dBm,TUB-intern,nuc11
236,a0:cf:5b:3f:bf:cc,wlan1,5240,nuc4,-83.00 dBm,eduroam,nuc11
237,a0:cf:5b:fa:41:dc,wlan1,5660,nuc4,-78.00 dBm,eduroam,nuc11
238,a0:cf:5b:3f:bd:fc,wlan1,5300,nuc4,-81.00 dBm,eduroam,nuc11
239,a0:cf:5b:00:1d:8c,wlan1,5500,nuc4,-74.00 dBm,eduroam,nuc11
240,a0:cf:5b:9f:68:63,wlan1,2412,nuc4,-59.00 dBm,eduroam,nuc11
241,a0:cf:5b:3f:bf:cc,wlan0,5240,nuc4,-73.00 dBm,eduroam,nuc11
242,a0:cf:5b:9f:68:63,wlan0,2412,nuc4,-71.00 dBm,eduroam,nuc11
243,00:1b:b1:5d:b1:5a,wlan1,2462,nuc4,-49.00 dBm,eduroam.bowl.tu-berlin.de,nuc11
244,02:5d:60:77:7e:ff,wlan1,2412,nuc4,-72.00 dBm,twist-test,nuc11
245,64:66:b3:ce:21:dc,wlan1,5240,nuc6,-84.00 dBm,68,nuc11
246,64:66:b3:ce:21:dc,wlan0,5240,nuc6,-74.00 dBm,68,nuc11
247,64:66:b3:ce:21:db,wlan1,2437,nuc6,-65.00 dBm,68-test,nuc11
248,64:66:b3:ce:21:db,wlan0,2437,nuc6,-53.00 dBm,68-test,nuc11
249,a0:cf:5b:3f:bd:fe,wlan1,5300,nuc6,-58.00 dBm,TUB-Guest,nuc11
250,a0:cf:5b:3f:91:7e,wlan1,5260,nuc6,-86.00 dBm,TUB-Guest,nuc11
251,a0:cf:5b:3f:91:7e,wlan0,5260,nuc6,-76.00 dBm,TUB-Guest,nuc11
252,a0:cf:5b:3f:bd:fe,wlan0,5300,nuc6,-43.00 dBm,TUB-Guest,nuc11
253,a0:cf:5b:3f:87:4e,wlan0,5660,nuc6,-73.00 dBm,TUB-Guest,nuc11
254,a0:cf:5b:3f:bd:fd,wlan1,5300,nuc6,-58.00 dBm,TUB-intern,nuc11
255,a0:cf:5b:3f:bd:fd,wlan0,5300,nuc6,-31.00 dBm,TUB-intern,nuc11
256,a0:cf:5b:3f:87:4d,wlan0,5660,nuc6,-72.00 dBm,TUB-intern,nuc11
257,a0:cf:5b:3f:91:7d,wlan0,5260,nuc6,-76.00 dBm,TUB-intern,nuc11
258,a0:cf:5b:3f:bd:fc,wlan1,5300,nuc6,-57.00 dBm,eduroam,nuc11
259,a0:cf:5b:3f:91:7c,wlan1,5260,nuc6,-85.00 dBm,eduroam,nuc11
260,a0:cf:5b:3f:bd:fc,wlan0,5300,nuc6,-43.00 dBm,eduroam,nuc11
261,a0:cf:5b:3f:87:4c,wlan0,5660,nuc6,-64.00 dBm,eduroam,nuc11
262,64:66:b3:ce:21:db,wlan0,2437,nuc10,-74.00 dBm,68-test,nuc11
263,90:72:40:10:43:8a,wlan1,2437,nuc10,-80.00 dBm,ABTC,nuc11
264,56:8b:3c:d0:48:b6,wlan1,5200,nuc10,-78.00 dBm,Intelligent-Mesh-5GHz,nuc11
265,56:8b:3c:d0:48:b6,wlan0,5200,nuc10,-62.00 dBm,Intelligent-Mesh-5GHz,nuc11
266,a0:cf:5b:fa:41:de,wlan1,5660,nuc10,-80.00 dBm,TUB-Guest,nuc11
267,a0:cf:5b:3f:bf:ce,wlan0,5240,nuc10,-78.00 dBm,TUB-Guest,nuc11
268,a0:cf:5b:3f:bd:fe,wlan0,5300,nuc10,-66.00 dBm,TUB-Guest,nuc11
269,a0:cf:5b:00:1d:8e,wlan0,5500,nuc10,-75.00 dBm,TUB-Guest,nuc11
270,a0:cf:5b:fa:41:de,wlan0,5660,nuc10,-72.00 dBm,TUB-Guest,nuc11
271,a0:cf:5b:fa:41:dd,wlan1,5660,nuc10,-80.00 dBm,TUB-intern,nuc11
272,a0:cf:5b:3f:bf:cd,wlan0,5240,nuc10,-78.00 dBm,TUB-intern,nuc11
273,a0:cf:5b:3f:bd:fd,wlan0,5300,nuc10,-67.00 dBm,TUB-intern,nuc11
274,a0:cf:5b:00:1d:8d,wlan0,5500,nuc10,-75.00 dBm,TUB-intern,nuc11
275,a0:cf:5b:fa:41:dd,wlan0,5660,nuc10,-72.00 dBm,TUB-intern,nuc11
276,a0:cf:5b:9f:68:62,wlan0,2412,nuc10,-50.00 dBm,TUB-intern,nuc11
277,a0:cf:5b:fa:41:dc,wlan1,5660,nuc10,-74.00 dBm,eduroam,nuc11
278,a0:cf:5b:3f:bf:cc,wlan0,5240,nuc10,-78.00 dBm,eduroam,nuc11
279,a0:cf:5b:3f:bd:fc,wlan0,5300,nuc10,-67.00 dBm,eduroam,nuc11
280,a0:cf:5b:00:1d:8c,wlan0,5500,nuc10,-74.00 dBm,eduroam,nuc11
281,a0:cf:5b:fa:41:dc,wlan0,5660,nuc10,-73.00 dBm,eduroam,nuc11
282,00:0b:6b:db:08:a0,wlan1,2462,nuc10,-79.00 dBm,eduroam.bowl.tu-berlin.de,nuc11
283,00:1b:b1:5d:b1:5a,wlan1,2462,nuc10,-74.00 dBm,eduroam.bowl.tu-berlin.de,nuc11
284,00:1b:b1:5d:b1:5a,wlan0,2462,nuc10,-61.00 dBm,eduroam.bowl.tu-berlin.de,nuc11
285,56:8b:3c:d0:48:b6,wlan1,5200,nuc12,-81.00 dBm,Intelligent-Mesh-5GHz,nuc11
286,56:8b:3c:d0:48:b6,wlan0,5200,nuc12,-69.00 dBm,Intelligent-Mesh-5GHz,nuc11
287,98:fc:11:dd:94:76,wlan1,2457,nuc12,-62.00 dBm,ResFi40,nuc11
288,98:fc:11:dd:94:76,wlan0,2457,nuc12,-81.00 dBm,ResFi40,nuc11
289,a0:cf:5b:00:1d:8e,wlan1,5500,nuc12,-69.00 dBm,TUB-Guest,nuc11
290,a0:cf:5b:3f:bd:fe,wlan0,5300,nuc12,-78.00 dBm,TUB-Guest,nuc11
291,a0:cf:5b:3f:91:7e,wlan0,5260,nuc12,-80.00 dBm,TUB-Guest,nuc11
292,a0:cf:5b:00:1d:8d,wlan1,5500,nuc12,-68.00 dBm,TUB-intern,nuc11
293,a0:cf:5b:3f:bd:fd,wlan0,5300,nuc12,-78.00 dBm,TUB-intern,nuc11
294,a0:cf:5b:3f:91:7d,wlan0,5260,nuc12,-80.00 dBm,TUB-intern,nuc11
295,a0:cf:5b:00:1d:8c,wlan1,5500,nuc12,-58.00 dBm,eduroam,nuc11
296,a0:cf:5b:3f:bd:fc,wlan0,5300,nuc12,-66.00 dBm,eduroam,nuc11
297,a0:cf:5b:3f:91:7c,wlan0,5260,nuc12,-80.00 dBm,eduroam,nuc11
298,00:0b:6b:db:08:9e,wlan1,2462,nuc12,-81.00 dBm,eduroam.bowl.tu-berlin.de,nuc11
299,00:0b:6b:db:08:a0,wlan1,2462,nuc12,-79.00 dBm,eduroam.bowl.tu-berlin.de,nuc11
300,00:0b:6b:db:08:a0,wlan0,2462,nuc12,-56.00 dBm,eduroam.bowl.tu-berlin.de,nuc11
301,64:66:b3:ce:21:dc,wlan1,5240,nuc13,-56.00 dBm,68,nuc11
302,64:66:b3:ce:21:dc,wlan0,5240,nuc13,-61.00 dBm,68,nuc11
303,64:66:b3:ce:21:db,wlan1,2437,nuc13,-45.00 dBm,68-test,nuc11
304,64:66:b3:ce:21:db,wlan0,2437,nuc13,-40.00 dBm,68-test,nuc11
305,28:f0:76:71:45:92,wlan0,2462,nuc13,-82.00 dBm,MyNet,nuc11
306,a0:cf:5b:3f:bd:fe,wlan1,5300,nuc13,-79.00 dBm,TUB-Guest,nuc11
307,a0:cf:5b:3f:87:4e,wlan1,5660,nuc13,-67.00 dBm,TUB-Guest,nuc11
308,a0:cf:5b:3f:bd:fe,wlan0,5300,nuc13,-73.00 dBm,TUB-Guest,nuc11
309,a0:cf:5b:3f:87:4e,wlan0,5660,nuc13,-63.00 dBm,TUB-Guest,nuc11
310,a0:cf:5b:3f:bd:fd,wlan1,5300,nuc13,-79.00 dBm,TUB-intern,nuc11
311,a0:cf:5b:3f:87:4d,wlan1,5660,nuc13,-50.00 dBm,TUB-intern,nuc11
312,a0:cf:5b:3d:7d:a2,wlan0,2462,nuc13,-50.00 dBm,TUB-intern,nuc11
313,a0:cf:5b:3f:bd:fd,wlan0,5300,nuc13,-74.00 dBm,TUB-intern,nuc11
314,a0:cf:5b:3f:87:4d,wlan0,5660,nuc13,-50.00 dBm,TUB-intern,nuc11
315,a0:cf:5b:3f:bd:fc,wlan1,5300,nuc13,-79.00 dBm,eduroam,nuc11
316,a0:cf:5b:3f:87:4c,wlan1,5660,nuc13,-66.00 dBm,eduroam,nuc11
317,a0:cf:5b:a3:13:e3,wlan0,2462,nuc13,-75.00 dBm,eduroam,nuc11
318,64:66:b3:ce:21:db,wlan1,2437,nuc4,-73.00 dBm,68-test,nuc11
319,56:8b:3c:d0:48:b6,wlan1,5200,nuc4,-58.00 dBm,Intelligent-Mesh-5GHz,nuc11
320,56:8b:3c:d0:48:b6,wlan0,5200,nuc4,-52.00 dBm,Intelligent-Mesh-5GHz,nuc11
321,a0:cf:5b:00:1d:8e,wlan1,5500,nuc4,-76.00 dBm,TUB-Guest,nuc11
322,a0:cf:5b:fa:41:de,wlan1,5660,nuc4,-75.00 dBm,TUB-Guest,nuc11
323,a0:cf:5b:3f:bd:fe,wlan1,5300,nuc4,-83.00 dBm,TUB-Guest,nuc11
324,a0:cf:5b:3f:bf:ce,wlan0,5240,nuc4,-75.00 dBm,TUB-Guest,nuc11
325,a0:cf:5b:00:1d:8d,wlan1,5500,nuc4,-79.00 dBm,TUB-intern,nuc11
326,a0:cf:5b:fa:41:dd,wlan1,5660,nuc4,-75.00 dBm,TUB-intern,nuc11
327,a0:cf:5b:3f:bf:cd,wlan0,5240,nuc4,-74.00 dBm,TUB-intern,nuc11
328,a0:cf:5b:9f:68:62,wlan0,2412,nuc4,-69.00 dBm,TUB-intern,nuc11
329,a0:cf:5b:fa:41:dc,wlan1,5660,nuc4,-63.00 dBm,eduroam,nuc11
330,a0:cf:5b:3f:bd:fc,wlan1,5300,nuc4,-83.00 dBm,eduroam,nuc11
331,a0:cf:5b:00:1d:8c,wlan1,5500,nuc4,-78.00 dBm,eduroam,nuc11
332,a0:cf:5b:3f:bf:cc,wlan0,5240,nuc4,-74.00 dBm,eduroam,nuc11
333,00:1b:b1:5d:b1:5a,wlan1,2462,nuc4,-73.00 dBm,eduroam.bowl.tu-berlin.de,nuc11
334,64:66:b3:ce:21:dc,wlan1,5240,nuc6,-85.00 dBm,68,nuc11
335,64:66:b3:ce:21:dc,wlan0,5240,nuc6,-74.00 dBm,68,nuc11
336,64:66:b3:ce:21:db,wlan1,2437,nuc6,-63.00 dBm,68-test,nuc11
337,64:66:b3:ce:21:db,wlan0,2437,nuc6,-53.00 dBm,68-test,nuc11
338,a0:cf:5b:3f:bd:fe,wlan1,5300,nuc6,-59.00 dBm,TUB-Guest,nuc11
339,a0:cf:5b:3f:91:7e,wlan1,5260,nuc6,-85.00 dBm,TUB-Guest,nuc11
340,a0:cf:5b:3f:91:7e,wlan0,5260,nuc6,-76.00 dBm,TUB-Guest,nuc11
341,a0:cf:5b:3f:bd:fe,wlan0,5300,nuc6,-43.00 dBm,TUB-Guest,nuc11
342,a0:cf:5b:3f:87:4e,wlan0,5660,nuc6,-66.00 dBm,TUB-Guest,nuc11
343,a0:cf:5b:3f:bd:fd,wlan1,5300,nuc6,-54.00 dBm,TUB-intern,nuc11
344,a0:cf:5b:3f:bd:fd,wlan0,5300,nuc6,-43.00 dBm,TUB-intern,nuc11
345,a0:cf:5b:3f:87:4d,wlan0,5660,nuc6,-62.00 dBm,TUB-intern,nuc11
346,a0:cf:5b:3f:91:7d,wlan0,5260,nuc6,-77.00 dBm,TUB-intern,nuc11
347,a0:cf:5b:3f:bd:fc,wlan1,5300,nuc6,-58.00 dBm,eduroam,nuc11
348,a0:cf:5b:3f:bd:fc,wlan0,5300,nuc6,-42.00 dBm,eduroam,nuc11
349,a0:cf:5b:3f:87:4c,wlan0,5660,nuc6,-66.00 dBm,eduroam,nuc11
350,64:66:b3:ce:21:db,wlan0,2437,nuc10,-73.00 dBm,68-test,nuc12
351,90:72:40:10:43:8a,wlan1,2437,nuc10,-81.00 dBm,ABTC,nuc12
352,56:8b:3c:d0:48:b6,wlan1,5200,nuc10,-78.00 dBm,Intelligent-Mesh-5GHz,nuc12
353,56:8b:3c:d0:48:b6,wlan0,5200,nuc10,-51.00 dBm,Intelligent-Mesh-5GHz,nuc12
354,a0:cf:5b:fa:41:de,wlan1,5660,nuc10,-80.00 dBm,TUB-Guest,nuc12
355,a0:cf:5b:3f:bf:ce,wlan0,5240,nuc10,-76.00 dBm,TUB-Guest,nuc12
356,a0:cf:5b:3f:bd:fe,wlan0,5300,nuc10,-55.00 dBm,TUB-Guest,nuc12
357,a0:cf:5b:00:1d:8e,wlan0,5500,nuc10,-59.00 dBm,TUB-Guest,nuc12
358,a0:cf:5b:fa:41:de,wlan0,5660,nuc10,-72.00 dBm,TUB-Guest,nuc12
359,a0:cf:5b:fa:41:dd,wlan1,5660,nuc10,-81.00 dBm,TUB-intern,nuc12
360,a0:cf:5b:3f:bf:cd,wlan0,5240,nuc10,-76.00 dBm,TUB-intern,nuc12
361,a0:cf:5b:3f:bd:fd,wlan0,5300,nuc10,-66.00 dBm,TUB-intern,nuc12
362,a0:cf:5b:00:1d:8d,wlan0,5500,nuc10,-75.00 dBm,TUB-intern,nuc12
363,a0:cf:5b:fa:41:dd,wlan0,5660,nuc10,-72.00 dBm,TUB-intern,nuc12
364,a0:cf:5b:fa:41:dc,wlan1,5660,nuc10,-80.00 dBm,eduroam,nuc12
365,a0:cf:5b:3f:bf:cc,wlan0,5240,nuc10,-75.00 dBm,eduroam,nuc12
366,a0:cf:5b:3f:bd:fc,wlan0,5300,nuc10,-66.00 dBm,eduroam,nuc12
367,a0:cf:5b:00:1d:8c,wlan0,5500,nuc10,-74.00 dBm,eduroam,nuc12
368,a0:cf:5b:fa:41:dc,wlan0,5660,nuc10,-72.00 dBm,eduroam,nuc12
369,00:1b:b1:5d:b1:5a,wlan1,2462,nuc10,-73.00 dBm,eduroam.bowl.tu-berlin.de,nuc12
370,00:1b:b1:5d:b1:5a,wlan0,2462,nuc10,-75.00 dBm,eduroam.bowl.tu-berlin.de,nuc12
371,00:0b:6b:db:08:a0,wlan0,2462,nuc10,-77.00 dBm,eduroam.bowl.tu-berlin.de,nuc12
372,02:71:d9:74:88:d3,wlan1,2412,nuc10,-61.00 dBm,twist-test,nuc12
373,64:66:b3:ce:21:dc,wlan1,5240,nuc11,-89.00 dBm,68,nuc12
374,64:66:b3:ce:21:db,wlan1,2437,nuc11,-71.00 dBm,68-test,nuc12
375,64:66:b3:ce:21:db,wlan0,2437,nuc11,-66.00 dBm,68-test,nuc12
376,56:8b:3c:d0:48:b6,wlan1,5200,nuc11,-88.00 dBm,Intelligent-Mesh-5GHz,nuc12
377,56:8b:3c:d0:48:b6,wlan0,5200,nuc11,-83.00 dBm,Intelligent-Mesh-5GHz,nuc12
378,a0:cf:5b:3f:87:4e,wlan0,5660,nuc11,-76.00 dBm,TUB-Guest,nuc12
379,a0:cf:5b:3f:87:4d,wlan1,5660,nuc11,-78.00 dBm,TUB-intern,nuc12
380,a0:cf:5b:3f:87:4d,wlan0,5660,nuc11,-75.00 dBm,TUB-intern,nuc12
381,a0:cf:5b:3f:87:4c,wlan1,5660,nuc11,-66.00 dBm,eduroam,nuc12
382,a0:cf:5b:3f:87:4c,wlan0,5660,nuc11,-76.00 dBm,eduroam,nuc12
383,a0:cf:5b:9f:68:63,wlan0,2412,nuc11,-57.00 dBm,eduroam,nuc12
384,64:66:b3:ce:21:dc,wlan1,5240,nuc13,-52.00 dBm,68,nuc12
385,64:66:b3:ce:21:dc,wlan0,5240,nuc13,-62.00 dBm,68,nuc12
386,64:66:b3:ce:21:db,wlan1,2437,nuc13,-46.00 dBm,68-test,nuc12
387,64:66:b3:ce:21:db,wlan0,2437,nuc13,-43.00 dBm,68-test,nuc12
388,28:f0:76:71:45:92,wlan0,2462,nuc13,-78.00 dBm,MyNet,nuc12
389,a0:cf:5b:3f:bd:fe,wlan1,5300,nuc13,-80.00 dBm,TUB-Guest,nuc12
390,a0:cf:5b:3f:87:4e,wlan1,5660,nuc13,-69.00 dBm,TUB-Guest,nuc12
391,a0:cf:5b:3f:bd:fe,wlan0,5300,nuc13,-76.00 dBm,TUB-Guest,nuc12
392,a0:cf:5b:3f:87:4e,wlan0,5660,nuc13,-51.00 dBm,TUB-Guest,nuc12
393,a0:cf:5b:3f:bd:fd,wlan1,5300,nuc13,-79.00 dBm,TUB-intern,nuc12
394,a0:cf:5b:3f:87:4d,wlan1,5660,nuc13,-68.00 dBm,TUB-intern,nuc12
395,a0:cf:5b:3f:bd:fd,wlan0,5300,nuc13,-59.00 dBm,TUB-intern,nuc12
396,a0:cf:5b:3f:87:4d,wlan0,5660,nuc13,-63.00 dBm,TUB-intern,nuc12
397,a0:cf:5b:3f:bd:fc,wlan1,5300,nuc13,-79.00 dBm,eduroam,nuc12
398,a0:cf:5b:3f:87:4c,wlan1,5660,nuc13,-68.00 dBm,eduroam,nuc12
399,a0:cf:5b:3f:87:4c,wlan0,5660,nuc13,-63.00 dBm,eduroam,nuc12
400,a0:cf:5b:3d:7d:a3,wlan0,2462,nuc13,-72.00 dBm,eduroam,nuc12
401,64:66:b3:ce:21:db,wlan1,2437,nuc4,-74.00 dBm,68-test,nuc12
402,64:66:b3:ce:21:db,wlan0,2437,nuc4,-75.00 dBm,68-test,nuc12
403,56:8b:3c:d0:48:b6,wlan1,5200,nuc4,-59.00 dBm,Intelligent-Mesh-5GHz,nuc12
404,56:8b:3c:d0:48:b6,wlan0,5200,nuc4,-51.00 dBm,Intelligent-Mesh-5GHz,nuc12
405,a0:cf:5b:00:1d:8e,wlan1,5500,nuc4,-73.00 dBm,TUB-Guest,nuc12
406,a0:cf:5b:fa:41:de,wlan1,5660,nuc4,-74.00 dBm,TUB-Guest,nuc12
407,a0:cf:5b:3f:bd:fe,wlan1,5300,nuc4,-83.00 dBm,TUB-Guest,nuc12
408,a0:cf:5b:3f:bf:ce,wlan1,5240,nuc4,-82.00 dBm,TUB-Guest,nuc12
409,a0:cf:5b:3f:bf:ce,wlan0,5240,nuc4,-74.00 dBm,TUB-Guest,nuc12
410,a0:cf:5b:00:1d:8d,wlan1,5500,nuc4,-73.00 dBm,TUB-intern,nuc12
411,a0:cf:5b:fa:41:dd,wlan1,5660,nuc4,-75.00 dBm,TUB-intern,nuc12
412,a0:cf:5b:3f:bf:cd,wlan1,5240,nuc4,-82.00 dBm,TUB-intern,nuc12
413,a0:cf:5b:3f:bd:fd,wlan1,5300,nuc4,-83.00 dBm,TUB-intern,nuc12
414,a0:cf:5b:3f:bf:cd,wlan0,5240,nuc4,-75.00 dBm,TUB-intern,nuc12
415,a0:cf:5b:9f:68:62,wlan0,2412,nuc4,-70.00 dBm,TUB-intern,nuc12
416,a0:cf:5b:fa:41:dc,wlan1,5660,nuc4,-74.00 dBm,eduroam,nuc12
417,a0:cf:5b:3f:bd:fc,wlan1,5300,nuc4,-83.00 dBm,eduroam,nuc12
418,a0:cf:5b:00:1d:8c,wlan1,5500,nuc4,-73.00 dBm,eduroam,nuc12
419,a0:cf:5b:3f:bf:cc,wlan1,5240,nuc4,-82.00 dBm,eduroam,nuc12
420,a0:cf:5b:3f:bf:cc,wlan0,5240,nuc4,-74.00 dBm,eduroam,nuc12
