,bssid,dev,freq,node,signal,ssid,ap
421,00:1b:b1:5d:b1:5a,wlan1,2462,nuc4,-73.00 dBm,eduroam.bowl.tu-berlin.de,nuc12
422,00:1b:b1:5d:b1:5a,wlan0,2462,nuc4,-74.00 dBm,eduroam.bowl.tu-berlin.de,nuc12
423,02:71:d9:74:88:d3,wlan1,2412,nuc4,-65.00 dBm,twist-test,nuc12
424,02:71:d9:74:88:d3,wlan0,2412,nuc4,-72.00 dBm,twist-test,nuc12
425,64:66:b3:ce:21:dc,wlan1,5240,nuc6,-85.00 dBm,68,nuc12
426,64:66:b3:ce:21:dc,wlan0,5240,nuc6,-71.00 dBm,68,nuc12
427,64:66:b3:ce:21:db,wlan1,2437,nuc6,-68.00 dBm,68-test,nuc12
428,64:66:b3:ce:21:db,wlan0,2437,nuc6,-59.00 dBm,68-test,nuc12
429,56:8b:3c:d0:48:b6,wlan1,5200,nuc6,-90.00 dBm,Intelligent-Mesh-5GHz,nuc12
430,a0:cf:5b:3f:bd:fe,wlan1,5300,nuc6,-57.00 dBm,TUB-Guest,nuc12
431,a0:cf:5b:3f:91:7e,wlan0,5260,nuc6,-77.00 dBm,TUB-Guest,nuc12
432,a0:cf:5b:3f:bd:fe,wlan0,5300,nuc6,-32.00 dBm,TUB-Guest,nuc12
433,a0:cf:5b:3f:87:4e,wlan0,5660,nuc6,-69.00 dBm,TUB-Guest,nuc12
434,a0:cf:5b:3f:bd:fd,wlan1,5300,nuc6,-56.00 dBm,TUB-intern,nuc12
435,a0:cf:5b:3f:91:7d,wlan1,5260,nuc6,-83.00 dBm,TUB-intern,nuc12
436,a0:cf:5b:3f:bd:fd,wlan0,5300,nuc6,-45.00 dBm,TUB-intern,nuc12
437,a0:cf:5b:3f:87:4d,wlan0,5660,nuc6,-69.00 dBm,TUB-intern,nuc12
438,a0:cf:5b:3f:91:7d,wlan0,5260,nuc6,-76.00 dBm,TUB-intern,nuc12
439,a0:cf:5b:3f:bd:fc,wlan1,5300,nuc6,-57.00 dBm,eduroam,nuc12
440,a0:cf:5b:3f:91:7c,wlan1,5260,nuc6,-84.00 dBm,eduroam,nuc12
441,a0:cf:5b:3f:bd:fc,wlan0,5300,nuc6,-42.00 dBm,eduroam,nuc12
442,a0:cf:5b:3f:87:4c,wlan0,5660,nuc6,-65.00 dBm,eduroam,nuc12
443,a0:cf:5b:3f:91:7c,wlan0,5260,nuc6,-77.00 dBm,eduroam,nuc12
444,64:66:b3:ce:21:db,wlan0,2437,nuc10,-78.00 dBm,68-test,nuc12
445,90:72:40:10:43:8a,wlan1,2437,nuc10,-81.00 dBm,ABTC,nuc12
446,56:8b:3c:d0:48:b6,wlan1,5200,nuc10,-79.00 dBm,Intelligent-Mesh-5GHz,nuc12
447,56:8b:3c:d0:48:b6,wlan0,5200,nuc10,-63.00 dBm,Intelligent-Mesh-5GHz,nuc12
448,a0:cf:5b:fa:41:de,wlan1,5660,nuc10,-73.00 dBm,TUB-Guest,nuc12
449,a0:cf:5b:3f:bd:fe,wlan1,5300,nuc10,-81.00 dBm,TUB-Guest,nuc12
450,a0:cf:5b:3f:bf:ce,wlan0,5240,nuc10,-79.00 dBm,TUB-Guest,nuc12
451,a0:cf:5b:3f:bd:fe,wlan0,5300,nuc10,-62.00 dBm,TUB-Guest,nuc12
452,a0:cf:5b:00:1d:8e,wlan0,5500,nuc10,-75.00 dBm,TUB-Guest,nuc12
453,a0:cf:5b:fa:41:de,wlan0,5660,nuc10,-61.00 dBm,TUB-Guest,nuc12
454,a0:cf:5b:fa:41:dd,wlan1,5660,nuc10,-77.00 dBm,TUB-intern,nuc12
455,a0:cf:5b:3f:bf:cd,wlan0,5240,nuc10,-78.00 dBm,TUB-intern,nuc12
456,a0:cf:5b:3f:bd:fd,wlan0,5300,nuc10,-65.00 dBm,TUB-intern,nuc12
457,a0:cf:5b:00:1d:8d,wlan0,5500,nuc10,-76.00 dBm,TUB-intern,nuc12
458,a0:cf:5b:fa:41:dd,wlan0,5660,nuc10,-72.00 dBm,TUB-intern,nuc12
459,a0:cf:5b:fa:41:dc,wlan1,5660,nuc10,-78.00 dBm,eduroam,nuc12
460,a0:cf:5b:3f:bf:cc,wlan0,5240,nuc10,-79.00 dBm,eduroam,nuc12
461,a0:cf:5b:3f:bd:fc,wlan0,5300,nuc10,-66.00 dBm,eduroam,nuc12
462,a0:cf:5b:00:1d:8c,wlan0,5500,nuc10,-74.00 dBm,eduroam,nuc12
463,a0:cf:5b:fa:41:dc,wlan0,5660,nuc10,-71.00 dBm,eduroam,nuc12
464,00:1b:b1:5d:b1:5a,wlan1,2462,nuc10,-50.00 dBm,eduroam.bowl.tu-berlin.de,nuc12
465,00:0b:6b:db:08:a0,wlan1,2462,nuc10,-79.00 dBm,eduroam.bowl.tu-berlin.de,nuc12
466,00:1b:b1:5d:b1:5a,wlan0,2462,nuc10,-61.00 dBm,eduroam.bowl.tu-berlin.de,nuc12
467,00:0b:6b:db:08:a0,wlan0,2462,nuc10,-78.00 dBm,eduroam.bowl.tu-berlin.de,nuc12
468,02:71:d9:74:88:d3,wlan1,5240,nuc10,-82.00 dBm,twist-test,nuc12
469,64:66:b3:ce:21:db,wlan1,2437,nuc11,-77.00 dBm,68-test,nuc12
470,64:66:b3:ce:21:db,wlan0,2437,nuc11,-66.00 dBm,68-test,nuc12
471,56:8b:3c:d0:48:b6,wlan1,5200,nuc11,-87.00 dBm,Intelligent-Mesh-5GHz,nuc12
472,56:8b:3c:d0:48:b6,wlan0,5200,nuc11,-84.00 dBm,Intelligent-Mesh-5GHz,nuc12
473,a0:cf:5b:3f:87:4e,wlan1,5660,nuc11,-78.00 dBm,TUB-Guest,nuc12
474,a0:cf:5b:3f:87:4d,wlan1,5660,nuc11,-79.00 dBm,TUB-intern,nuc12
475,a0:cf:5b:3f:87:4d,wlan0,5660,nuc11,-79.00 dBm,TUB-intern,nuc12
476,a0:cf:5b:3f:87:4c,wlan1,5660,nuc11,-78.00 dBm,eduroam,nuc12
477,a0:cf:5b:3f:87:4c,wlan0,5660,nuc11,-78.00 dBm,eduroam,nuc12
478,64:66:b3:ce:21:dc,wlan1,5240,nuc13,-56.00 dBm,68,nuc12
479,64:66:b3:ce:21:dc,wlan0,5240,nuc13,-62.00 dBm,68,nuc12
480,64:66:b3:ce:21:db,wlan1,2437,nuc13,-45.00 dBm,68-test,nuc12
481,64:66:b3:ce:21:db,wlan0,2437,nuc13,-43.00 dBm,68-test,nuc12
482,28:f0:76:71:45:92,wlan0,2462,nuc13,-79.00 dBm,MyNet,nuc12
483,a0:cf:5b:3f:bd:fe,wlan1,5300,nuc13,-79.00 dBm,TUB-Guest,nuc12
484,a0:cf:5b:3f:87:4e,wlan1,5660,nuc13,-68.00 dBm,TUB-Guest,nuc12
485,a0:cf:5b:3f:bd:fe,wlan0,5300,nuc13,-76.00 dBm,TUB-Guest,nuc12
486,a0:cf:5b:3f:87:4e,wlan0,5660,nuc13,-51.00 dBm,TUB-Guest,nuc12
487,a0:cf:5b:3f:bd:fd,wlan1,5300,nuc13,-79.00 dBm,TUB-intern,nuc12
488,a0:cf:5b:3f:87:4d,wlan1,5660,nuc13,-68.00 dBm,TUB-intern,nuc12
489,a0:cf:5b:3f:bd:fd,wlan0,5300,nuc13,-60.00 dBm,TUB-intern,nuc12
490,a0:cf:5b:3f:87:4d,wlan0,5660,nuc13,-62.00 dBm,TUB-intern,nuc12
491,a0:cf:5b:3f:bd:fc,wlan1,5300,nuc13,-80.00 dBm,eduroam,nuc12
492,a0:cf:5b:3f:87:4c,wlan1,5660,nuc13,-66.00 dBm,eduroam,nuc12
493,a0:cf:5b:3f:87:4c,wlan0,5660,nuc13,-62.00 dBm,eduroam,nuc12
494,a0:cf:5b:3d:7d:a3,wlan0,2462,nuc13,-53.00 dBm,eduroam,nuc12
495,64:66:b3:ce:21:db,wlan1,2437,nuc4,-71.00 dBm,68-test,nuc12
496,64:66:b3:ce:21:db,wlan0,2437,nuc4,-81.00 dBm,68-test,nuc12
497,00:24:fe:08:53:cd,wlan1,2412,nuc4,-82.00 dBm,FG_ENSYS,nuc12
498,56:8b:3c:d0:48:b6,wlan1,5200,nuc4,-57.00 dBm,Intelligent-Mesh-5GHz,nuc12
499,56:8b:3c:d0:48:b6,wlan0,5200,nuc4,-52.00 dBm,Intelligent-Mesh-5GHz,nuc12
500,a0:cf:5b:00:1d:8e,wlan1,5500,nuc4,-79.00 dBm,TUB-Guest,nuc12
501,a0:cf:5b:fa:41:de,wlan1,5660,nuc4,-74.00 dBm,TUB-Guest,nuc12
502,a0:cf:5b:3f:bf:ce,wlan1,5240,nuc4,-81.00 dBm,TUB-Guest,nuc12
503,a0:cf:5b:3f:bf:ce,wlan0,5240,nuc4,-74.00 dBm,TUB-Guest,nuc12
504,a0:cf:5b:9f:68:61,wlan0,2412,nuc4,-68.00 dBm,TUB-Guest,nuc12
505,a0:cf:5b:00:1d:8d,wlan1,5500,nuc4,-79.00 dBm,TUB-intern,nuc12
506,a0:cf:5b:fa:41:dd,wlan1,5660,nuc4,-74.00 dBm,TUB-intern,nuc12
507,a0:cf:5b:3f:bf:cd,wlan1,5240,nuc4,-82.00 dBm,TUB-intern,nuc12
508,a0:cf:5b:3f:bd:fd,wlan1,5300,nuc4,-80.00 dBm,TUB-intern,nuc12
509,a0:cf:5b:3f:bf:cd,wlan0,5240,nuc4,-74.00 dBm,TUB-intern,nuc12
510,a0:cf:5b:fa:41:dc,wlan1,5660,nuc4,-62.00 dBm,eduroam,nuc12
511,a0:cf:5b:00:1d:8c,wlan1,5500,nuc4,-78.00 dBm,eduroam,nuc12
512,a0:cf:5b:3f:bf:cc,wlan1,5240,nuc4,-82.00 dBm,eduroam,nuc12
513,a0:cf:5b:3f:bf:cc,wlan0,5240,nuc4,-74.00 dBm,eduroam,nuc12
514,a0:cf:5b:9f:68:63,wlan0,2412,nuc4,-69.00 dBm,eduroam,nuc12
515,00:1b:b1:5d:b1:5a,wlan1,2462,nuc4,-48.00 dBm,eduroam.bowl.tu-berlin.de,nuc12
516,64:66:b3:ce:21:dc,wlan1,5240,nuc6,-86.00 dBm,68,nuc12
517,64:66:b3:ce:21:dc,wlan0,5240,nuc6,-78.00 dBm,68,nuc12
518,64:66:b3:ce:21:db,wlan1,2437,nuc6,-41.00 dBm,68-test,nuc12
519,64:66:b3:ce:21:db,wlan0,2437,nuc6,-51.00 dBm,68-test,nuc12
520,56:8b:3c:d0:48:b6,wlan1,5200,nuc6,-90.00 dBm,Intelligent-Mesh-5GHz,nuc12
521,a0:cf:5b:3f:bd:fe,wlan1,5300,nuc6,-53.00 dBm,TUB-Guest,nuc12
522,a0:cf:5b:3f:91:7e,wlan1,5260,nuc6,-83.00 dBm,TUB-Guest,nuc12
523,a0:cf:5b:3f:91:7e,wlan0,5260,nuc6,-77.00 dBm,TUB-Guest,nuc12
524,a0:cf:5b:3f:bd:fe,wlan0,5300,nuc6,-42.00 dBm,TUB-Guest,nuc12
525,a0:cf:5b:3f:87:4e,wlan0,5660,nuc6,-68.00 dBm,TUB-Guest,nuc12
526,a0:cf:5b:3f:bd:fd,wlan1,5300,nuc6,-58.00 dBm,TUB-intern,nuc12
527,a0:cf:5b:3f:91:7d,wlan1,5260,nuc6,-86.00 dBm,TUB-intern,nuc12
528,a0:cf:5b:3f:bd:fd,wlan0,5300,nuc6,-42.00 dBm,TUB-intern,nuc12
529,a0:cf:5b:3f:87:4d,wlan0,5660,nuc6,-69.00 dBm,TUB-intern,nuc12
530,a0:cf:5b:3f:91:7d,wlan0,5260,nuc6,-66.00 dBm,TUB-intern,nuc12
531,a0:cf:5b:3f:bd:fc,wlan1,5300,nuc6,-57.00 dBm,eduroam,nuc12
532,a0:cf:5b:3f:91:7c,wlan1,5260,nuc6,-84.00 dBm,eduroam,nuc12
533,a0:cf:5b:3f:bd:fc,wlan0,5300,nuc6,-32.00 dBm,eduroam,nuc12
534,a0:cf:5b:3f:87:4c,wlan0,5660,nuc6,-69.00 dBm,eduroam,nuc12
535,02:71:d9:74:88:d3,wlan1,5240,nuc6,-86.00 dBm,twist-test,nuc12
536,64:66:b3:ce:21:db,wlan0,2437,nuc10,-73.00 dBm,68-test,nuc13
537,90:72:40:10:43:8a,wlan1,2437,nuc10,-84.00 dBm,ABTC,nuc13
538,56:8b:3c:d0:48:b6,wlan0,5200,nuc10,-63.00 dBm,Intelligent-Mesh-5GHz,nuc13
539,a0:cf:5b:fa:41:de,wlan1,5660,nuc10,-80.00 dBm,TUB-Guest,nuc13
540,a0:cf:5b:3f:bd:fe,wlan0,5300,nuc10,-66.00 dBm,TUB-Guest,nuc13
541,a0:cf:5b:00:1d:8e,wlan0,5500,nuc10,-75.00 dBm,TUB-Guest,nuc13
542,a0:cf:5b:fa:41:de,wlan0,5660,nuc10,-73.00 dBm,TUB-Guest,nuc13
543,a0:cf:5b:fa:41:dd,wlan1,5660,nuc10,-81.00 dBm,TUB-intern,nuc13
544,a0:cf:5b:3f:bd:fd,wlan0,5300,nuc10,-66.00 dBm,TUB-intern,nuc13
545,a0:cf:5b:00:1d:8d,wlan0,5500,nuc10,-76.00 dBm,TUB-intern,nuc13
546,a0:cf:5b:fa:41:dd,wlan0,5660,nuc10,-61.00 dBm,TUB-intern,nuc13
547,a0:cf:5b:fa:41:dc,wlan1,5660,nuc10,-80.00 dBm,eduroam,nuc13
548,a0:cf:5b:3f:bd:fc,wlan0,5300,nuc10,-55.00 dBm,eduroam,nuc13
549,a0:cf:5b:00:1d:8c,wlan0,5500,nuc10,-61.00 dBm,eduroam,nuc13
550,a0:cf:5b:fa:41:dc,wlan0,5660,nuc10,-74.00 dBm,eduroam,nuc13
551,00:1b:b1:5d:b1:5a,wlan1,2462,nuc10,-73.00 dBm,eduroam.bowl.tu-berlin.de,nuc13
552,64:66:b3:ce:21:dc,wlan1,5240,nuc11,-88.00 dBm,68,nuc13
553,64:66:b3:ce:21:db,wlan1,2437,nuc11,-70.00 dBm,68-test,nuc13
554,64:66:b3:ce:21:db,wlan0,2437,nuc11,-53.00 dBm,68-test,nuc13
555,56:8b:3c:d0:48:b6,wlan1,5200,nuc11,-86.00 dBm,Intelligent-Mesh-5GHz,nuc13
556,56:8b:3c:d0:48:b6,wlan0,5200,nuc11,-82.00 dBm,Intelligent-Mesh-5GHz,nuc13
557,a0:cf:5b:3f:87:4e,wlan1,5660,nuc11,-79.00 dBm,TUB-Guest,nuc13
558,a0:cf:5b:3f:87:4e,wlan0,5660,nuc11,-78.00 dBm,TUB-Guest,nuc13
559,a0:cf:5b:3f:87:4d,wlan1,5660,nuc11,-78.00 dBm,TUB-intern,nuc13
560,a0:cf:5b:3f:87:4d,wlan0,5660,nuc11,-77.00 dBm,TUB-intern,nuc13
561,a0:cf:5b:3f:87:4c,wlan1,5660,nuc11,-67.00 dBm,eduroam,nuc13
562,a0:cf:5b:3f:87:4c,wlan0,5660,nuc11,-78.00 dBm,eduroam,nuc13
563,02:5d:60:77:86:67,wlan1,2412,nuc11,-80.00 dBm,twist-test,nuc13
564,02:5d:60:77:86:67,wlan0,2412,nuc11,-75.00 dBm,twist-test,nuc13
565,56:8b:3c:d0:48:b6,wlan1,5200,nuc12,-84.00 dBm,Intelligent-Mesh-5GHz,nuc13
566,56:8b:3c:d0:48:b6,wlan0,5200,nuc12,-59.00 dBm,Intelligent-Mesh-5GHz,nuc13
567,98:fc:11:dd:94:76,wlan0,2457,nuc12,-80.00 dBm,ResFi40,nuc13
568,a0:cf:5b:00:1d:8e,wlan1,5500,nuc12,-67.00 dBm,TUB-Guest,nuc13
569,a0:cf:5b:3f:bd:fe,wlan0,5300,nuc12,-80.00 dBm,TUB-Guest,nuc13
570,a0:cf:5b:3f:91:7e,wlan0,5260,nuc12,-80.00 dBm,TUB-Guest,nuc13
571,a0:cf:5b:00:1d:8d,wlan1,5500,nuc12,-67.00 dBm,TUB-intern,nuc13
572,a0:cf:5b:3f:bd:fd,wlan0,5300,nuc12,-67.00 dBm,TUB-intern,nuc13
573,a0:cf:5b:3f:91:7d,wlan0,5260,nuc12,-80.00 dBm,TUB-intern,nuc13
574,a0:cf:5b:00:1d:8c,wlan1,5500,nuc12,-55.00 dBm,eduroam,nuc13
575,a0:cf:5b:3f:bd:fc,wlan0,5300,nuc12,-79.00 dBm,eduroam,nuc13
576,a0:cf:5b:3f:91:7c,wlan0,5260,nuc12,-69.00 dBm,eduroam,nuc13
577,a0:cf:5b:9f:68:63,wlan0,2412,nuc12,-52.00 dBm,eduroam,nuc13
578,00:0b:6b:db:08:9e,wlan1,2462,nuc12,-81.00 dBm,eduroam.bowl.tu-berlin.de,nuc13
579,00:0b:6b:db:08:a0,wlan1,2462,nuc12,-79.00 dBm,eduroam.bowl.tu-berlin.de,nuc13
580,00:1b:b1:5d:b1:5a,wlan1,2462,nuc12,-78.00 dBm,eduroam.bowl.tu-berlin.de,nuc13
581,64:66:b3:ce:21:db,wlan1,2437,nuc4,-71.00 dBm,68-test,nuc13
582,64:66:b3:ce:21:db,wlan0,2437,nuc4,-79.00 dBm,68-test,nuc13
583,00:24:fe:08:53:cd,wlan1,2412,nuc4,-72.00 dBm,FG_ENSYS,nuc13
584,56:8b:3c:d0:48:b6,wlan1,5200,nuc4,-57.00 dBm,Intelligent-Mesh-5GHz,nuc13
585,56:8b:3c:d0:48:b6,wlan0,5200,nuc4,-51.00 dBm,Intelligent-Mesh-5GHz,nuc13
586,a0:cf:5b:00:1d:8e,wlan1,5500,nuc4,-79.00 dBm,TUB-Guest,nuc13
587,a0:cf:5b:fa:41:de,wlan1,5660,nuc4,-66.00 dBm,TUB-Guest,nuc13
588,a0:cf:5b:3f:bf:ce,wlan1,5240,nuc4,-83.00 dBm,TUB-Guest,nuc13
589,a0:cf:5b:3f:bf:ce,wlan0,5240,nuc4,-74.00 dBm,TUB-Guest,nuc13
590,a0:cf:5b:00:1d:8d,wlan1,5500,nuc4,-78.00 dBm,TUB-intern,nuc13
591,a0:cf:5b:fa:41:dd,wlan1,5660,nuc4,-76.00 dBm,TUB-intern,nuc13
592,a0:cf:5b:3f:bf:cd,wlan1,5240,nuc4,-82.00 dBm,TUB-intern,nuc13
593,a0:cf:5b:3f:bf:cd,wlan0,5240,nuc4,-74.00 dBm,TUB-intern,nuc13
594,a0:cf:5b:fa:41:dc,wlan1,5660,nuc4,-77.00 dBm,eduroam,nuc13
595,a0:cf:5b:00:1d:8c,wlan1,5500,nuc4,-78.00 dBm,eduroam,nuc13
596,a0:cf:5b:3f:bf:cc,wlan1,5240,nuc4,-82.00 dBm,eduroam,nuc13
597,a0:cf:5b:9f:68:63,wlan1,2412,nuc4,-62.00 dBm,eduroam,nuc13
598,a0:cf:5b:3f:bf:cc,wlan0,5240,nuc4,-74.00 dBm,eduroam,nuc13
599,00:1b:b1:5d:b1:5a,wlan1,2462,nuc4,-72.00 dBm,eduroam.bowl.tu-berlin.de,nuc13
600,64:66:b3:ce:21:dc,wlan1,5240,nuc6,-84.00 dBm,68,nuc13
601,64:66:b3:ce:21:dc,wlan0,5240,nuc6,-72.00 dBm,68,nuc13
602,64:66:b3:ce:21:db,wlan1,2437,nuc6,-63.00 dBm,68-test,nuc13
603,64:66:b3:ce:21:db,wlan0,2437,nuc6,-60.00 dBm,68-test,nuc13
604,56:8b:3c:d0:48:b6,wlan1,5200,nuc6,-90.00 dBm,Intelligent-Mesh-5GHz,nuc13
605,a0:cf:5b:3f:bd:fe,wlan1,5300,nuc6,-58.00 dBm,TUB-Guest,nuc13
606,a0:cf:5b:3f:91:7e,wlan0,5260,nuc6,-77.00 dBm,TUB-Guest,nuc13
607,a0:cf:5b:3f:bd:fe,wlan0,5300,nuc6,-43.00 dBm,TUB-Guest,nuc13
608,a0:cf:5b:3f:87:4e,wlan0,5660,nuc6,-69.00 dBm,TUB-Guest,nuc13
609,a0:cf:5b:3f:bd:fd,wlan1,5300,nuc6,-58.00 dBm,TUB-intern,nuc13
610,a0:cf:5b:3f:bd:fd,wlan0,5300,nuc6,-42.00 dBm,TUB-intern,nuc13
611,a0:cf:5b:3f:87:4d,wlan0,5660,nuc6,-65.00 dBm,TUB-intern,nuc13
612,a0:cf:5b:3f:91:7d,wlan0,5260,nuc6,-67.00 dBm,TUB-intern,nuc13
613,a0:cf:5b:3f:bd:fc,wlan1,5300,nuc6,-58.00 dBm,eduroam,nuc13
614,a0:cf:5b:3f:91:7c,wlan1,5260,nuc6,-84.00 dBm,eduroam,nuc13
615,a0:cf:5b:3f:bd:fc,wlan0,5300,nuc6,-42.00 dBm,eduroam,nuc13
616,a0:cf:5b:3f:87:4c,wlan0,5660,nuc6,-68.00 dBm,eduroam,nuc13
617,a0:cf:5b:3f:91:7c,wlan0,5260,nuc6,-77.00 dBm,eduroam,nuc13
618,02:5d:60:77:86:67,wlan1,2412,nuc6,-79.00 dBm,twist-test,nuc13
619,64:66:b3:ce:21:db,wlan0,2437,nuc10,-76.00 dBm,68-test,nuc13
620,90:72:40:10:43:8a,wlan1,2437,nuc10,-81.00 dBm,ABTC,nuc13
621,56:8b:3c:d0:48:b6,wlan1,5200,nuc10,-79.00 dBm,Intelligent-Mesh-5GHz,nuc13
622,56:8b:3c:d0:48:b6,wlan0,5200,nuc10,-63.00 dBm,Intelligent-Mesh-5GHz,nuc13
623,a0:cf:5b:fa:41:de,wlan1,5660,nuc10,-80.00 dBm,TUB-Guest,nuc13
624,a0:cf:5b:00:1d:8e,wlan1,5500,nuc10,-81.00 dBm,TUB-Guest,nuc13
625,a0:cf:5b:3f:bd:fe,wlan0,5300,nuc10,-52.00 dBm,TUB-Guest,nuc13
626,a0:cf:5b:00:1d:8e,wlan0,5500,nuc10,-74.00 dBm,TUB-Guest,nuc13
627,a0:cf:5b:fa:41:de,wlan0,5660,nuc10,-75.00 dBm,TUB-Guest,nuc13
628,a0:cf:5b:9f:68:61,wlan0,2412,nuc10,-51.00 dBm,TUB-Guest,nuc13
629,a0:cf:5b:3f:bf:ce,wlan0,5240,nuc10,-78.00 dBm,TUB-Guest,nuc13
630,a0:cf:5b:fa:41:dd,wlan1,5660,nuc10,-81.00 dBm,TUB-intern,nuc13
